quantile,nominal,observed
0.01,0.01,0.03600763782215395
0.02,0.02,0.04469662058371736
0.03,0.03,0.05416666666666667
0.04,0.04,0.06917157364738011
0.05,0.05,0.088899982932241
0.06,0.06,0.11731374807987711
0.07,0.07,0.1260810291858679
0.08,0.08,0.13734126984126985
0.09,0.09,0.1529200802184673
0.1,0.1,0.1723794589520396
0.11,0.11,0.1939132104454685
0.12,0.12,0.20663061102577232
0.13,0.13,0.2196979006656426
0.14,0.14,0.2328554360812425
0.15,0.15,0.2467037890424987
0.16,0.16,0.2602754309609148
0.17,0.17,0.2707326335552142
0.18,0.18,0.2802195340501792
0.19,0.19,0.2892022956135859
0.2,0.2,0.2994115890083632
0.21,0.21,0.3076794248165216
0.22,0.22,0.31842336576207547
0.23,0.23,0.32960040109233657
0.24,0.24,0.3422303294077488
0.25,0.25,0.3538125106673494
0.26,0.26,0.364902927120669
0.27,0.27,0.37519243898276156
0.28,0.28,0.3859035244922342
0.29,0.29,0.3973011606076122
0.3,0.3,0.4088468595323434
0.31,0.31,0.41967933947772657
0.32,0.32,0.42894179894179896
0.33,0.33,0.44064473459634745
0.34,0.34,0.4502297747055811
0.35,0.35,0.4603018859873699
0.36,0.36,0.46899470899470896
0.37,0.37,0.47937553336746885
0.38,0.38,0.4869487113841952
0.39,0.39,0.4960780423280423
0.4,0.4,0.5040764208909371
0.41,0.41,0.5119994879672299
0.42,0.42,0.5204668032087387
0.43,0.43,0.5277024662911759
0.44,0.44,0.5348084144051887
0.45,0.45,0.5405259003242874
0.46,0.46,0.547346816862946
0.47,0.47,0.5531628690902884
0.48,0.48,0.5608260795357569
0.49,0.49,0.5694696193889742
0.5,0.5,0.5762201314217443
0.51,0.51,0.581997567844342
0.52,0.52,0.5889725209080048
0.53,0.53,0.5962258917904079
0.54,0.54,0.6049560505205667
0.55,0.55,0.6122296893667862
0.56,0.56,0.618984468339307
0.57,0.57,0.6251721710189453
0.58,0.58,0.6318145161290322
0.59,0.59,0.6393143027820448
0.6,0.6,0.6447004608294932
0.61,0.61,0.6516291175968596
0.62,0.62,0.6580803038061103
0.63,0.63,0.6660810291858679
0.64,0.64,0.672833888035501
0.65,0.65,0.6798717784604881
0.66,0.66,0.6855935313193378
0.67,0.67,0.6932895972008876
0.68,0.68,0.7012139443591057
0.69,0.69,0.7094602321215224
0.7,0.7,0.7167912613073903
0.71,0.71,0.7234944103089265
0.72,0.72,0.7299383427206008
0.73,0.73,0.7360748421232292
0.74,0.74,0.7409523809523809
0.75,0.75,0.7491173835125448
0.76,0.76,0.7551354753370882
0.77,0.77,0.7619636456733231
0.78,0.78,0.7701435825226147
0.79,0.79,0.7775512032770098
0.8,0.8,0.7852060931899641
0.81,0.81,0.7924647977470559
0.82,0.82,0.8003878648233488
0.83,0.83,0.8076465693804403
0.84,0.84,0.8152184673152416
0.85,0.85,0.822952722307561
0.86,0.86,0.8280303806110257
0.87,0.87,0.8355585424133811
0.88,0.88,0.8437205581157194
0.89,0.89,0.8513250981396143
0.9,0.9,0.8605640894350571
0.91,0.91,0.8694231097456905
0.92,0.92,0.8834656084656084
0.93,0.93,0.8967040023894862
0.94,0.94,0.9071420037549071
0.95,0.95,0.9158625618706264
0.96,0.96,0.9233924304488821
0.97,0.97,0.9411134579279741
0.98,0.98,0.9549874125277351
0.99,0.99,0.9654062126642772
