fold,train_end,test_start,test_end,n_test,loss_seasonal_naive,loss_climatology,loss_benchmark,dm_naive_vs_clim_stat,dm_naive_vs_clim_pval,dm_clim_vs_benchmark_stat,dm_clim_vs_benchmark_pval
1,2010-10-01 00:00:00,2010-10-01 01:00:00,2010-11-01 00:00:00,744,10.17231254955824,3.2902156457043557,7.185013440860213,8.260473429929403,2.220446049250313e-16,-6.9569136907769815,3.4781066915456904e-12
2,2010-11-01 00:00:00,2010-11-01 01:00:00,2010-12-01 00:00:00,720,8.522591176725527,5.112351121071829,8.204583333333332,7.904460431717033,2.6645352591003757e-15,-5.231782027617377,1.6788364765041308e-07
3,2010-12-01 00:00:00,2010-12-01 01:00:00,2011-01-01 00:00:00,744,23.936896949256592,21.508109458428358,24.787567204301073,2.7255541679854773,0.006419364216677659,-2.0931555317574113,0.036335272857011214
4,2011-01-01 00:00:00,2011-01-01 01:00:00,2011-02-01 00:00:00,744,18.09194513996535,12.494646791707401,18.73837365591398,5.550213549776143,2.853208558306619e-08,-3.2528687153423714,0.0011424626786382674
5,2011-02-01 00:00:00,2011-02-01 01:00:00,2011-03-01 00:00:00,672,11.72792505437719,9.356353678150558,22.75848214285714,3.4203412499420938,0.0006254262693274892,-8.992887051979194,0.0
6,2011-03-01 00:00:00,2011-03-01 01:00:00,2011-04-01 00:00:00,744,10.723113432865084,7.391306659878352,13.216263440860216,4.20602895836868,2.5989694606876057e-05,-5.294360963282171,1.1943331656993905e-07
7,2011-04-01 00:00:00,2011-04-01 01:00:00,2011-05-01 00:00:00,720,13.081398392073838,4.735919594556677,8.362569444444446,8.242637812560659,2.220446049250313e-16,-7.4738823752124315,7.793765632868599e-14
8,2011-05-01 00:00:00,2011-05-01 01:00:00,2011-06-01 00:00:00,744,10.383698222543599,8.541271261675899,10.91619623655914,1.8546261114972091,0.06364963671412283,-1.9611253144490428,0.049864406390543126
9,2011-06-01 00:00:00,2011-06-01 01:00:00,2011-07-01 00:00:00,720,12.89966601689875,7.151742099046016,16.993680555555553,7.25156572415889,4.118927421359331e-13,-9.472409411045238,0.0
10,2011-07-01 00:00:00,2011-07-01 01:00:00,2011-08-01 00:00:00,744,18.892228356909506,9.582757532312373,13.40383064516129,7.642225915175108,2.1316282072803006e-14,-2.777456822411444,0.005478611856265969
11,2011-08-01 00:00:00,2011-08-01 01:00:00,2011-09-01 00:00:00,744,15.598072537631042,11.629793038992068,17.31505376344087,2.5308005739035204,0.011380253230163007,-6.802444380518304,1.0285772233942225e-11
12,2011-09-01 00:00:00,2011-09-01 01:00:00,2011-10-01 00:00:00,720,12.118331081088428,6.106859096941639,13.837430555555551,5.126364439377388,2.953905655633804e-07,-7.345753828305774,2.0450308113595383e-13
13,2011-10-01 00:00:00,2011-10-01 01:00:00,2011-11-01 00:00:00,744,10.062259696386958,3.7200087273270346,6.423723118279568,10.910954642586443,0.0,-5.772668017767622,7.802607671081319e-09
14,2011-11-01 00:00:00,2011-11-01 01:00:00,2011-12-01 00:00:00,720,9.858743720398145,5.5030312839506195,10.937986111111108,9.138041331922613,0.0,-6.442873785839707,1.17232223928454e-10
15,2011-12-01 00:00:00,2011-12-01 01:00:00,2012-01-01 00:00:00,744,8.927074626451892,8.784443230150975,34.068481182795686,0.24429575484462712,0.8070017710373141,-14.023826685385695,0.0
